NAME,LAST_SUCCESS_LOGIN,CREATED_ON
SMULMI,,2020-07-27 06:10:52.281 -0700
MSEILER,,2025-02-26 13:15:14.075 -0800
PGRIFFITHS,,2019-10-24 10:46:10.050 -0700
MDAYAN1,,2022-06-15 10:44:03.455 -0700
RLAUNGANI,,2021-01-11 08:35:49.483 -0800
Q_DST_ETL_USER,,2025-02-06 12:49:26.785 -0800
VPENUMADU1,,2021-01-13 06:42:57.964 -0800
TETMARCHENKO,,2021-05-05 12:17:49.829 -0700
JJEFFERSON43519,,2023-11-08 06:58:26.765 -0800
MKAUSHIK44041,,2023-12-18 13:23:53.887 -0800
TCORREIA,,2021-07-16 06:25:58.393 -0700
D_DST_BI_USER,,2023-12-13 13:26:17.692 -0800
TEST,,2020-10-01 14:24:41.457 -0700
SCHABLANI39832,,2022-07-07 15:23:51.962 -0700
JPATEL41981,,2024-03-18 08:05:53.351 -0700
CBUZZARD,,2021-02-04 07:27:08.396 -0800
PVARATHARAJAN,,2021-05-25 07:28:24.757 -0700
ABAILEY,,2021-06-22 14:17:46.967 -0700
AMONDAL47282,,2025-05-19 06:06:47.494 -0700
RFETTERMAN44632,,2024-03-21 08:22:04.378 -0700
KNEYLAND,,2022-01-27 06:31:10.947 -0800
DWBI_ANALYST,,2020-07-13 10:56:36.702 -0700
LPFAFF,,2020-08-18 07:04:32.337 -0700
CDIEWALD_SFC,,2020-01-06 07:34:37.291 -0800
VDOKANIA44121,,2024-01-11 11:54:17.492 -0800
ESANDVIK,,2020-10-28 14:36:59.740 -0700
JDATZ,,2019-10-10 10:07:10.012 -0700
WH_MONITOR_USER,,2020-01-07 14:32:21.295 -0800
TESTUSER1,,2019-10-24 10:30:26.279 -0700
FADE_TEST,,2020-10-06 09:03:52.572 -0700
POWERBI_EXPLORE,,2023-06-08 12:37:22.692 -0700
ETL_LOAD_USER,,2020-07-10 10:05:33.944 -0700
D_DM_BI_USER,,2021-02-04 08:01:59.298 -0800
ZHASSAN,,2021-04-26 09:09:28.505 -0700
KSAYIR,,2022-10-31 06:30:55.894 -0700
NGVOZDANOVIC,,2021-06-22 06:35:28.316 -0700
LOOKER,,2020-01-17 06:42:52.342 -0800
MDBROWN,,2022-10-19 13:28:22.742 -0700
WH_MONITOR,,2020-01-07 14:31:12.254 -0800
WH_MONITOR_USER,,2020-01-08 11:14:44.386 -0800
RSYED41290,,2024-10-07 11:35:43.685 -0700
JSCHAEFER,,2021-06-04 08:38:17.235 -0700
TLALLY,,2023-03-31 07:59:23.248 -0700
KDONG,,2021-06-07 09:16:42.957 -0700
CGILLER,,2020-01-07 14:44:31.438 -0800
VPENUMADU,,2020-07-28 11:02:47.416 -0700
MELUMALAI,,2020-06-26 11:41:42.096 -0700
MCHASE40558,,2022-06-29 13:07:00.820 -0700
EKHVOSTOVA,,2021-06-04 08:35:45.620 -0700
LNICHOLS,,2023-04-11 10:36:17.751 -0700
AVENKATESHWARA44038,,2023-12-18 13:41:55.649 -0800
ZHOWE,,2021-04-21 09:14:06.487 -0700
TMARCHENKO,,2020-02-18 13:24:14.813 -0800
MAGHENDRAN,,2021-01-12 12:01:24.241 -0800
AYIN41726,,2023-05-19 07:46:24.065 -0700
AGRIGSBY39435,,2023-10-13 10:41:06.289 -0700
SREDDY46073,,2025-01-16 07:48:35.213 -0800
TRANDAZZA44952,,2024-07-30 12:57:38.317 -0700
ABHALLA,,2024-12-13 09:07:05.821 -0800
USHE_BI_POWERUSER,,2024-02-07 13:00:32.189 -0800
JGRAMS,,2023-04-03 10:45:52.483 -0700
SLOCKWOOD39494,,2024-01-12 11:15:00.855 -0800
YLIANG,,2023-10-10 07:07:49.337 -0700
ASANTOS,,2021-02-26 09:17:07.539 -0800
ASANCHEZ43699,,2024-01-09 05:49:33.043 -0800
KPILIUGINA,,2020-02-18 13:28:22.069 -0800
DSCHAFER,,2020-09-16 09:31:45.033 -0700
JCARPENTER_SFC,,2019-10-10 09:30:44.015 -0700
ALIANG42522,,2023-07-05 12:50:04.628 -0700
PRADONDAPATI,,2024-12-20 21:53:19.516 -0800
ACCT_BI_FPA_ALTYREX,,2024-09-10 06:50:15.814 -0700
ZSHEPARD,,2021-04-20 14:44:02.034 -0700
JJACKSON,,2020-01-15 17:52:01.945 -0800
DOCONNOR,,2024-05-28 06:55:29.830 -0700
KCALABRIA,,2019-10-24 12:28:27.807 -0700
MHENSON_SFC,,2019-12-28 11:57:24.932 -0800
JOLAFSSON,,2021-12-03 08:50:47.362 -0800
NGVOZDANOVIC,,2022-10-04 08:11:32.065 -0700
ACCT_BI_FPA_ALTYREX,,2024-09-10 06:45:56.814 -0700
ABAILEY,,2022-09-29 11:50:35.317 -0700
TMARCHENKO,,2020-02-19 09:46:01.579 -0800
FADEL_LOOKER,,2020-11-10 13:16:37.601 -0800
MBRYANT,,2023-08-07 11:05:20.964 -0700
JOLAFSSON,,2020-01-07 14:44:29.670 -0800
SNOWFLAKE,,2019-10-10 09:30:44.084 -0700
VPRIETO39833,,2022-06-28 09:39:32.986 -0700
ACCT_BI_FPA_ALTYREX,,2024-09-10 06:48:26.974 -0700
DHOFFINE,,2023-06-09 15:12:46.409 -0700
DOCONNOR,,2024-05-29 12:56:23.125 -0700
PPURUSHOTHAMAN_SFC,,2019-12-28 11:57:24.027 -0800
CBIAGETTI,,2022-01-26 12:42:40.310 -0800
WH_QA_DST_BI,,2025-02-06 11:28:04.920 -0800
HNAGPAL,,2020-07-20 10:08:01.937 -0700
MRAO,,2021-07-19 07:48:03.691 -0700
AMORAN,,2021-08-27 08:15:21.831 -0700
JCHILTON,,2020-09-03 12:09:47.234 -0700
MABARRERA,,2024-12-16 06:42:38.032 -0800
AARIVAZHAGAN,,2025-01-16 08:08:37.258 -0800
KLOJACONO,,2024-01-31 09:38:12.443 -0800
VPENUMADU1,,2021-01-12 10:34:20.654 -0800
EMASTERS,,2020-09-10 11:16:40.750 -0700
SREDDY46073,,2025-01-16 07:41:53.076 -0800
JMARCOULIER,,2022-07-11 11:10:44.422 -0700
RLARSON,,2020-01-07 14:44:28.713 -0800
RFACHINI,,2024-12-17 14:04:44.349 -0800
AVALLY44040,,2023-12-18 13:38:51.127 -0800
PBANGARI,,2024-11-19 13:52:10.545 -0800
AHARTMAN,,2020-09-23 08:12:09.206 -0700
Q_DST_BI_USER,,2025-02-06 12:50:35.601 -0800
PRAVURI,,2019-10-10 13:37:15.993 -0700
ESANDVIK,,2020-10-28 14:23:38.217 -0700
FADE_TEST,,2020-10-06 09:17:31.632 -0700
CENGAGEDWTEST,,2019-10-24 12:30:46.577 -0700
JJACKSON,,2020-01-15 18:02:42.754 -0800
ACCT_BI_ED2GO,,2024-03-26 06:12:27.899 -0700
SCHABLANI39832,,2023-08-02 06:29:16.122 -0700
Q_DST_ETL_USER,,2025-02-06 11:28:04.062 -0800
TEST,,2020-10-01 14:27:19.363 -0700
DWILLIAMS42836,,2023-11-08 10:28:26.601 -0800
CA_BI_POWER_USER,,2024-01-22 14:27:02.065 -0800
SGOYAL41801,,2023-01-13 08:44:39.391 -0800
ALUCIANO,,2020-01-07 14:44:30.543 -0800
PSTEFFENS,,2019-10-10 13:40:38.583 -0700
RSILVA_SFC,,2019-10-10 09:38:27.568 -0700
